TT,Team
1,Australia
2,Iran
3,Nhật Bản
4,Jordan
5,Hàn Quốc
6,Uzbekistan
7,Qatar
8,Saudi Arabia
9,Iraq
10,Algeria
11,Cape Verde
12,Ai Cập
13,Ghana
14,Maroc
15,Tunisia
16,Bờ Biển Ngà
17,Senegal
18,Nam Phi
19,DR Congo
20,Canada
21,Mexico
22,Mỹ
23,Panama
24,Haiti
25,Curacao
26,Argentina
27,Brazil
28,Colombia
29,Ecuador
30,Paraguay
31,Uruguay
32,New Zealand
33,Anh
34,Pháp
35,Croatia
36,Bồ Đào Nha
37,Na Uy
38,Tây Ban Nha
39,Scotland
40,Áo
41,Bỉ
42,Thụy Sĩ
43,Hà Lan
44,Đức
45,Thụy Điển
46,Thổ Nhĩ Kỳ
47,Bosnia & Herzegovina
48,CH Séc
